,0,1
591,The Chiffons,4
592,Polina,4
593,Shania Twain,4
594,Mac Demarco,4
595,AlunaGeorge,4
596,Dirty Projectors,4
597,Funkadelic,4
598,Shamir,4
599,Hot Chip,4
600,The Ronettes,4
601,Gayngs,4
602,Chief Keef,4
603,Ekkah,4
604,Violent Femmes,4
605,Yeah Yeah Yeahs,5
606,Kendrick Lamar,5
607,SLUMBERJACK,5
608,Paragon,5
609,Kanye West,5
610,George Acosta,5
611,Elliphant,5
612,Shabazz Palaces,5
613,Glass Figure,5
614,Tiësto,5
615,Stormzy,5
616,PALGOU,5
617,W&W,5
618,ILoveMakonnen,5
619,Borgeous,5
620,Science Of Sleep,5
621,French Kicks,5
622,Washed Out,5
623,Frank Ocean,5
624,Kendrick Lamar,5
625,Lindsay Lohan,5
626,Rick Ross,5
627,Ryan Stevenson,5
628,Krewella,5
629,Fit For An Autopsy,5
630,Jamie xx,5
631,Slushii,5
632,Lord of War,5
633,Rick Ross,5
634,A Trust Unclean,5
635,Courtney Barnett,5
636,Carnifex,5
637,No Parents,5
638,"Above, Below",5
639,Roy Ayers Ubiquity,5
640,Tujamo,5
641,Iconoclast,5
642,Duke Dumont,5
643,Kavinsky,5
644,Meek Mill,5
645,ASTR,5
646,Jamie xx,5
647,Death Grips,5
648,Honey Claws,5
649,The Avalanches,5
650,LION BABE,5
651,DJ Khaled,5
652,Flosstradamus & DJ Sliink,5
653,Belie My Burial,5
654,Bomba Estéreo,5
655,Purity Ring,5
656,Frank Ocean,5
657,LCD Soundsystem,5
658,XIA,5
659,Beartooth,5
660,Crystal Castles,5
661,Lost Kings,5
662,Porcelain Raft,5
663,Wavves,5
664,WALK THE MOON,5
665,Kendrick Lamar,5
666,Katy Perry,5
667,AFI,5
668,Florence + The Machine,5
669,Major Lazer,5
670,Open Mike Eagle,5
671,Papa Roach,5
672,Bassnectar,5
673,Matthew Dear,5
674,Hive,5
675,Skrillex,5
676,SOVI,5
677,Matthew Dear,5
678,Crystal Castles,5
679,Baauer,5
680,Cut Copy,5
681,Shotgun Surgeon,5
682,Kanye West,5
683,At Rest,5
684,QUIX,5
685,Rick Ross,5
686,The Avalanches,5
687,Advocates,5
688,Neil Young,5
689,Skrillex,5
690,TR/ST,5
691,Cascada,5
692,The Vogues,5
693,The Stooges,5
694,Darknet,5
695,5 Seconds of Summer,5
696,Skrillex,5
697,R3hab,5
698,Ivan Gough & Feenixpawl feat. Georgi Kay,5
699,Jagwar Ma,5
700,Four Year Strong,5
701,Mötley Crüe,5
702,Cosmic Gate,5
703,Cerrone,6
704,Burial,6
705,Grand High Priest,6
706,Master C & J,6
707,Gary's Gang,6
708,Yacht Club,6
709,Julio Bashmore,6
710,How Sad,6
711,The Alexanders,6
712,Cornershop,6
713,Madlib,6
714,Them Jeans,6
715,Jungle,6
716,Rustie,6
717,Vato Gonzalez,6
718,Disciples,6
719,Deep Purple,6
720,Mr Little Jeans,6
721,Sabrina,6
722,Partial Arts,6
723,Marshmello,6
724,Ultimate Painting,6
725,Real Connoisseur,6
726,Dusky,6
727,Goody Goody,6
728,Todd Terje,6
729,Fancy Fux,6
730,Disclosure,6
731,Skrillex,6
732,Tycho,6
733,Teams vs. Star Slinger,6
734,Ida Engberg,6
735,Laid Back,6
736,Chris Lake,6
737,The Parallax Corporation,6
738,ODESZA,6
739,SBTRKT,6
740,Washed Out,6
741,Christopher Owens,6
742,TV On The Radio,6
743,The The,6
744,Nickelback,6
745,Paper Diamond,6
746,Twin Moons,6
747,LCD Soundsystem,6
748,Afrojack,6
749,Radiohead,6
750,Junior Boys,6
751,Todd Terje,6
752,Tame Impala,6
753,Parquet Courts,6
754,Swearin',6
755,Sugarman Three,6
756,The Rapture,6
757,The Breeders,6
758,The Martini's,6
759,The War On Drugs,6
760,Lunice,6
761,Mr. Fingers,6
762,Miss Kittin,6
763,UZ,6
764,Inner City,6
765,Poolside,6
766,Santigold,6
767,Red Rack'Em,6
768,Dusky,6
769,The Juan Maclean,6
770,Iron Galaxy & Sexlife,6
771,CLUBZ,6
772,Breach,6
773,M.I.A.,6
774,A Guy Called Gerald,6
775,Ejeca,6
776,Dumbo Gets Mad,6
777,Shit Robot,6
778,A$AP Ferg,6
779,Breach,6
780,Format:B,6
781,Hercules & Love Affair,6
782,Allah-Las,6
783,William Onyeabor,6
784,HNNY,6
785,James Blake,6
786,X-Press 2,6
787,Disclosure,6
788,Hot Chocolate,6
789,Duke Dumont,6
790,ZHU,6
791,Ebo Taylor,6
792,Sports,6
793,DJ Dodger Stadium,6
794,New Order,6
795,New Order,6
796,Hotel Eden,6
797,Colleen Green,6
798,The Yardbirds,7
799,Donguy,7
800,Kiso,7
801,Counting Crows,7
802,Logan Mize,7
803,The Presidents Of The United States Of America,7
804,ILoveMakonnen,7
805,Kip Moore,7
806,The Ronettes,7
807,Eve 6,7
808,Twin Shadow,7
809,Rick Ross,7
810,Chris Bandi,7
811,Kano,7
812,Woods,7
813,Christina Aguilera,7
814,The Lumineers,7
815,Stormzy,7
816,Florida Georgia Line,7
817,Dave,7
818,Ashlee Simpson,7
819,Zac Brown Band,7
820,Michael Ray,7
821,J. Cole,7
822,Blake Shelton,7
823,Chris Lane,7
824,Savage Garden,7
825,Ex Hex,7
826,Brooke Eden,7
827,Cults,7
828,David Bowie,7
829,Savage Garden,7
830,Donnie Trumpet,7
831,Blu,7
832,Zac Brown Band,7
833,Rihanna,7
834,Kim Walker-Smith,7
835,Victorious Cast feat. Victoria Justice and Ariana Grande,7
836,Disclosure,7
837,Nickelback,7
838,G-Eazy,7
839,Big Time Rush,7
