,0,1
701,Gwen Stefani,4
702,Boston Bun,4
703,The Hollies,4
704,Grimes,4
705,Nico & Vinz,4
706,Maroon 5,4
707,Teams vs. Star Slinger,4
708,Fela Kuti,4
709,Chaka Khan,4
710,EMP DASME,4
711,Shakira,4
712,Gym Class Heroes,4
713,Taio Cruz,4
714,Rick Ross,4
715,MKTO,4
716,Katy Perry,4
717,Eminem,4
718,Kesha,4
719,Rene & Angela,4
720,Spice Girls,4
721,Sisyphus,4
722,David Guetta,4
723,Gucci Mane,4
724,Paulo Mendonca,4
725,Vis à Vis,4
726,Toots & The Maytals,4
727,William Onyeabor,4
728,Chromeo,4
729,T. P. Orchestre Poly-Rythmo,4
730,Baio,4
731,Zapp,4
732,Tanlines,4
733,David Bowie,4
734,Holy Ghost!,4
735,SWV,4
736,Hercules & Love Affair,4
737,Britney Spears,4
738,Joni Haastrup,4
739,Neon Indian,4
740,Mr. C,4
741,Major Lazer,4
742,Feathers,4
743,Three 6 Mafia,4
744,Three 6 Mafia,4
745,Three 6 Mafia,4
746,Chromeo,4
747,The Kooks,4
748,The Third Degree,4
749,Breach,4
750,Woods,4
751,Generationals,4
752,Disclosure,4
753,Atmosphere,4
754,MercyMe,4
755,Jamie Grace,4
756,Jasmine Murray,4
757,Bob Marley & The Wailers,4
758,Nickelback,4
759,Meek Mill,4
760,*NSYNC,4
761,Jason Derulo,4
762,Maggie Lindemann,4
763,India.Arie,4
764,Skepta,4
765,Maluma,4
766,Michael Jackson,4
767,Michael Jackson,4
768,Amy Winehouse,4
769,Enrique Iglesias,4
770,Nicky Jam,4
771,5 Seconds of Summer,4
772,Cults,4
773,Shakira,4
774,J Balvin,4
775,Zion & Lennox,4
776,David Bowie,4
777,Michael Jackson,4
778,Daddy Yankee,4
779,Anuel Aa,4
780,Wisin,4
781,Luis Fonsi,4
782,Luis Fonsi,4
783,Keith Urban,4
784,Little Big Town,4
785,A-Trak,4
786,Peter Andre,4
787,Big Data,4
788,Barry White,4
789,Lady Antebellum,4
790,Beach House,4
791,Tennis,4
792,Marvin Gaye,4
793,Azari & III,4
794,Gwen Stefani,4
795,The Blackbyrds,4
796,Sofia Carson,4
797,Musical Youth,4
798,The Black Eyed Peas,4
799,Old Dominion,4
800,Inner City,4
801,Shakira,4
802,Dâm-Funk,4
803,Ozuna,4
804,Carlos Vives,4
805,Christina Aguilera,4
806,Luis Fonsi,4
807,Shakira,4
808,Mariah Carey,4
809,Shawn Mendes,4
810,Gucci Mane,4
811,Juanes,4
812,Bells Atlas,4
813,Frankie Cosmos,4
814,Onra,4
815,Samantha Fox,4
816,Wild Belle,4
817,2 Chainz,4
818,Daft Punk,4
819,Incubus,4
820,Lady Gaga,4
821,Cosculluela,4
822,Purity Ring,4
823,Reik,4
824,Sebastian Yatra,4
825,Wisin,4
826,Don Omar,4
827,IAmChino,4
828,Ice Cube,4
829,Nicky Jam,4
830,Carlos Vives,4
831,Ozuna,4
832,Prince Royce,4
833,Alejandro Fernandez,4
834,Maluma,4
835,Enrique Iglesias,4
836,The Black Eyed Peas,4
837,Daft Punk,4
838,Daddy Yankee,4
839,Carlos Baute,4
840,Daddy Yankee,4
841,French Montana,4
842,Fetty Wap,4
843,Icona Pop,4
844,Toni Toni Lee,4
845,DJ Raff,4
846,Parcels,4
847,Bay Ledges,4
848,*NSYNC,4
849,Stevie Wonder,4
850,New Order,4
851,Wiley,4
852,Billie Piper,4
853,Red Hot Chili Peppers,4
854,*NSYNC,4
855,*NSYNC,4
856,*NSYNC,4
857,J. Dash,4
858,Backstreet Boys,4
859,Backstreet Boys,4
860,Backstreet Boys,4
861,Project Pat,4
862,Backstreet Boys,4
863,Santana,4
864,Caribou,4
865,Drake,4
866,Three 6 Mafia,4
867,Cassius,4
868,DNCE,4
869,Burak Yeter,4
870,Santigold,4
871,Little Mix,4
872,Bruno Mars,4
873,Zdar,4
874,The Cheeky Girls,4
875,Martin Solveig,4
876,Janet Jackson,4
877,Rockwell,4
878,Neon Indian,4
879,R3hab,4
880,Disclosure,4
881,Future Islands,4
882,Black Lace,4
883,Mike Posner,4
884,T. P. Orchestre Poly-Rythmo,4
885,Backstreet Boys,4
886,Kero Kero Bonito,4
887,Black Harmony,4
